Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1201126;AISI 316;"2""-1 1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"2""";;"1 1/4""";;0,5;;;;;;;;1
1201127;AISI 316;"2""-1 1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"2""";;"1 1/2""";;0,48;;;;;;;;1
1201130;AISI 316;"2 1/2""-1 1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"2 1/2""";;"1 1/2""";;0,74;;;;;;;;1
1201131;AISI 316;"2 1/2""-2""";SUPISTUSNIPPA;0;Supistusnippa;;"2 1/2""";;"2""";;0,82;;;;;;;;1
1201133;AISI 316;"3""-1 1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"3""";;"1 1/2""";;1;;;;;;;;1
1201134;AISI 316;"3""-2""";SUPISTUSNIPPA;0;Supistusnippa;;"3""";;"2""";;1,08;;;;;;;;1
1201137;AISI 316;"3""-2 1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"3""";;"2 1/2""";;0,93;;;;;;;;1
1201139;AISI 316;"4""-3""";SUPISTUSNIPPA;0;Supistusnippa;;"4""";;"3""";;1,5;;;;;;;;1
1201199;AISI 316;;SUPISTUSNIPPA;0;Supistusnippa;;;;;;0;;;;;;;;1
1201201;AISI 316;"1/4""-1/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1/4""";;"1/8""";;0,02;;;;;;;;1
1201202;AISI 316;"3/8""-1/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3/8""";;"1/8""";;0,03;;;;;;;;1
1201203;AISI 316;"3/8""-1/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3/8""";;"1/4""";;0,03;;;;;;;;1
1201204;AISI 316;"1/2""-1/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1/2""";;"1/8""";;0,05;;;;;;;;1
1201205;AISI 316;"1/2""-1/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1/2""";;"1/4""";;0,04;;;;;;;;1
1201206;AISI 316;"1/2""-3/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1/2""";;"3/8""";;0,05;;;;;;;;1
1201207;AISI 316;"3/4""-1/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3/4""";;"1/4""";;0,07;;;;;;;;1
1201208;AISI 316;"3/4""-3/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3/4""";;"3/8""";;0,08;;;;;;;;1
